timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718096556249,196,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6735,165,4,4,http://192.168.196.143:3000/title_basics?title=Sleeping%20Beauty&page=1,195,0,0
1718096556409,185,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,7067,168,4,4,http://192.168.196.143:3000/title_basics?title=Now%20You%20See%20Me&page=1,184,0,0
1718096556289,418,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,4579,210,4,4,http://192.168.196.143:3000/title_basics?title=Star%20Wars:%20Episode%20V%20-%20The%20Empire%20Strikes%20Back&page=1,417,0,0
1718096556557,383,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,1183,199,4,4,http://192.168.196.143:3000/title_basics?title=C.S.A.:%20The%20Confederate%20States%20of%20America&page=1,383,0,0
1718096556854,402,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,2567,167,4,4,http://192.168.196.143:3000/title_basics?title=Agni%20Natchathiram&page=1,402,0,0
1718096557130,213,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,7497,159,4,4,http://192.168.196.143:3000/title_basics?title=Red%20Dwarf&page=1,211,0,0
1718096557012,430,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,2416,160,4,4,http://192.168.196.143:3000/title_basics?title=Four%20Lions&page=1,430,0,0
1718096557355,418,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,6345,166,4,4,http://192.168.196.143:3000/title_basics?title=Mulholland%20Drive&page=1,418,0,0
1718096557744,131,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,4400,152,4,4,http://192.168.196.143:3000/title_basics?title=Dune&page=1,130,0,0
1718096557661,438,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5881,163,4,4,http://192.168.196.143:3000/title_basics?title=Boogie%20Nights&page=1,437,0,0
1718096557838,398,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,2356,193,4,4,"http://192.168.196.143:3000/title_basics?title=Lock,%20Stock%20and%20Two%20Smoking%20Barrels&page=1",398,0,0
1718096558172,432,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5720,172,4,4,http://192.168.196.143:3000/title_basics?title=The%20Bourne%20Ultimatum&page=1,430,0,0
1718096558285,410,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,3150,178,4,4,http://192.168.196.143:3000/title_basics?title=300:%20Rise%20of%20an%20Empire&page=1,410,0,0
1718096558515,502,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,7649,214,4,4,http://192.168.196.143:3000/title_basics?title=Indiana%20Jones%20and%20the%20Kingdom%20of%20the%20Crystal%20Skull&page=1,502,0,0
1718096558625,472,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5237,167,4,4,http://192.168.196.143:3000/title_basics?title=The%20Maze%20Runner&page=1,471,0,0
1718096559004,205,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5155,161,4,4,http://192.168.196.143:3000/title_basics?title=Tooth%20Fairy&page=1,203,0,0
1718096559124,151,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,7373,154,4,4,http://192.168.196.143:3000/title_basics?title=Traces&page=1,149,0,0
1718096559425,427,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,3858,179,4,4,http://192.168.196.143:3000/title_basics?title=Ein%20Herz%20und%20eine%20Seele&page=1,426,0,0
1718096559512,412,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,4861,166,4,4,http://192.168.196.143:3000/title_basics?title=Grumpy%20Old%20Men&page=1,411,0,0
1718096559615,635,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,6295,180,4,4,http://192.168.196.143:3000/title_basics?title=The%20Silence%20of%20the%20Lambs&page=1,635,0,0
1718096559685,612,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,1778,180,4,4,http://192.168.196.143:3000/title_basics?title=The%20Sponge%20Who%20Could%20Fly&page=1,612,0,0
1718096560320,114,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5939,156,4,4,http://192.168.196.143:3000/title_basics?title=Vacation&page=1,113,0,0
1718096560250,387,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,2563,169,4,4,http://192.168.196.143:3000/title_basics?title=Boyz%20n%20the%20Hood&page=1,387,0,0
1718096560662,185,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5906,162,4,4,http://192.168.196.143:3000/title_basics?title=Side%20Effects&page=1,184,0,0
1718096560845,110,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5534,184,4,4,http://192.168.196.143:3000/title_basics?title=Law%20&%20Order:%20Criminal%20Intent&page=1,110,0,0
1718096560706,338,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,6344,156,4,4,http://192.168.196.143:3000/title_basics?title=Cars%203&page=1,337,0,0
1718096561053,114,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5372,153,4,4,http://192.168.196.143:3000/title_basics?title=Creed&page=1,112,0,0
1718096561254,429,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,2164,197,4,4,http://192.168.196.143:3000/title_basics?title=The%20Santa%20Clause%203:%20The%20Escape%20Clause&page=1,429,0,0
1718096561358,479,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6368,158,4,4,http://192.168.196.143:3000/title_basics?title=12th%20Man&page=1,478,0,0
1718096561462,412,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,1202,196,4,4,http://192.168.196.143:3000/title_basics?title=Sentenced%20to%20Boil!%20Oden's%20Deadly%20Hour!&page=1,412,0,0
1718096561559,614,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,2666,182,4,4,http://192.168.196.143:3000/title_basics?title=The%20Exorcism%20of%20Emily%20Rose&page=1,614,0,0
1718096562237,122,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6403,152,4,4,http://192.168.196.143:3000/title_basics?title=Coco&page=1,121,0,0
1718096562296,113,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,6635,153,4,4,http://192.168.196.143:3000/title_basics?title=Chaos&page=1,110,0,0
1718096562080,392,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,2370,175,4,4,http://192.168.196.143:3000/title_basics?title=Letters%20from%20Iwo%20Jima&page=1,392,0,0
1718096562564,382,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,1762,170,4,4,http://192.168.196.143:3000/title_basics?title=Please%20Remain%20Calm&page=1,382,0,0
1718096562774,445,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,1195,199,4,4,http://192.168.196.143:3000/title_basics?title=Department%20Q:%20The%20Keeper%20of%20Lost%20Causes&page=1,445,0,0
1718096562880,339,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,6136,161,4,4,http://192.168.196.143:3000/title_basics?title=Civilizations&page=1,339,0,0
1718096562815,434,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,6305,152,4,4,http://192.168.196.143:3000/title_basics?title=Skam&page=1,431,0,0
1718096563342,415,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6864,167,5,5,http://192.168.196.143:3000/title_basics?title=Please%20Stand%20By&page=1,413,0,0
1718096563630,156,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5838,159,5,5,http://192.168.196.143:3000/title_basics?title=The%20Flash&page=1,156,0,0
1718096563615,401,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,1163,174,5,5,http://192.168.196.143:3000/title_basics?title=Johnny%20in%20the%20Clouds&page=1,401,0,0
1718096563651,466,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,7670,160,5,5,http://192.168.196.143:3000/title_basics?title=First%20Kill&page=1,464,0,0
1718096564028,467,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-5,text,true,,5829,167,5,5,http://192.168.196.143:3000/title_basics?title=The%20Hurt%20Locker&page=1,466,0,43
1718096564173,459,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,9918,162,5,5,http://192.168.196.143:3000/title_basics?title=The%20Sopranos&page=1,453,0,0
1718096564413,237,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5274,156,5,5,http://192.168.196.143:3000/title_basics?title=Sideways&page=1,237,0,0
1718096564183,524,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,2610,175,5,5,http://192.168.196.143:3000/title_basics?title=Rab%20Ne%20Bana%20Di%20Jodi&page=1,524,0,0
1718096564525,450,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,9624,168,5,5,http://192.168.196.143:3000/title_basics?title=The%20Green%20Hornet&page=1,447,0,0
1718096564912,131,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-5,text,true,,5114,153,5,5,http://192.168.196.143:3000/title_basics?title=X-Men&page=1,130,0,0
1718096565118,187,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6284,165,5,5,http://192.168.196.143:3000/title_basics?title=Sleeping%20Beauty&page=1,186,0,0
1718096565060,286,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,7361,171,5,5,http://192.168.196.143:3000/title_basics?title=The%20Incredible%20Hulk&page=1,283,0,0
1718096565060,437,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,7005,165,5,5,http://192.168.196.143:3000/title_basics?title=Touch%20of%20Evil&page=1,434,0,0
1718096565435,297,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-5,text,true,,11706,156,5,5,http://192.168.196.143:3000/title_basics?title=Snowfall&page=1,292,0,0
